CCOD_RUBRO,DESCRIP_RUBRO,value,share_cordoba,rca_cordoba_exports
203B,Manteca,68080664.33,0.6%,7.9
208AC,Aceite de maní,61207348.65,0.6%,7.9
212AD,Subproductos oleaginosos de maní,8723837,0.1%,7.9
399D,"Armas, municiones y sus partes",64465.46,5.90734E-06,7.931556
313BC,Partes y piezas de vehículos y tractores,298701024.9,0.027371688,6.102540606
107D,Maní,670102278.7,6.1%,5.6
209B,Artículos de confitería sin cacao,17145389.2,0.2%,5.5
312B,Máquinas y aparatos eléctricos y objetos destinado al uso electrónico y sus partes,85838660.4,0.007865889,3.836913771
208AH,Aceite de maíz,331675.75,0.0%,3.6
312AC,"Material, máquinas y aparatos para la producción de frío y sus partes",10439412.52,0.000956623,3.548491801
203A,Leches preparadas,279820934.7,2.6%,3.4
107Z,Resto semillas y frutos oleaginosos,53709003.76,0.5%,3.3
312AA,"Motores de explosión o de combustión interna, de émbolos y sus partes.",166390218.7,0.01524729,3.328918144
312AF,"Máquinas y aparatos para la elevación, carga y descarga",7032598.86,0.000644437,3.113809419
211Z,"Resto de bebidas,líquidos alcohólicos y vinagre excluido el vino de uva",56037560.25,0.5%,3.1
106B,Maíz,2269666631,20.8%,2.8
399A,"Instrumentos y aparatos de óptica, cine, fotografía y medicoquirúrgico y sus partes",23792631.35,0.002180255,2.617487067
29899,Manufacturas de origen agropecuario (confidencial),3297857782,30.2%,2.6
209CB,Preparaciones de cacao,25377934.79,0.2%,2.5
106C,Sorgo granífero,100968411.5,0.9%,2.4
212B,"Afrecho, afrechillo, pellets (trigo,maíz, sorgo y mijo)",63108987.42,0.6%,2.4
107A,Soja,1373843768,12.6%,2.3
106ZE,Mijo,270810.54,0.0%,2.1
208Z,Resto de grasas y aceites,27506566.2,0.3%,1.9
210Z,"Resto de preparados de legumbres,hortalizas y frutas",99781307.68,0.9%,1.8
312AH,"Máquinas para el trabajo de los metales, carburos metálicos y sus partes",459861.51,4.21397E-05,1.693347685
304,Cauchos y sus manufacturas,30654450.23,0.3%,1.6
207CB,"Pastas alimenticias,productos de panadería y mezclas y pastas para la preparación de productos de panadería ",34902419.81,0.3%,1.4
104Z,Resto de hortalizas y legumbres sin elaborar ,2351872.53,0.0%,1.4
312AL,"Otras máquinas y aparatos mecánicos, piezas y accesorios",43121962.44,0.003951513,1.325504646
307H,Prendas de vestir y accesorios de tejidos,3010738.29,0.000275891,1.257225358
206D,Especias,569989.9,0.0%,1.1
