CCOD_RUBRO,hs_prefixes,mapping_priority,mapping_note
101,01,2,Chapter-level parent mapping for live animals.
103,0409,4,Direct HS4 mapping for natural honey.
104A,0703,4,Direct HS4 mapping for onions and garlic group; used for onions.
104B,0703,4,Direct HS4 mapping for onions and garlic group; used for garlic.
104C,0713,4,Direct HS4 mapping for dried leguminous vegetables.
104Z,07,2,Chapter-level parent mapping for other vegetables.
105E,0809,4,Direct HS4 mapping for stone fruit.
106A,1001,4,Direct HS4 mapping for wheat.
106B,1005,4,Direct HS4 mapping for maize.
106C,1007,4,Direct HS4 mapping for grain sorghum.
106ZA,1004,4,Direct HS4 mapping for oats.
106ZB,1003,4,Direct HS4 mapping for barley.
106ZD,1008,4,Direct HS4 mapping for other cereals including canary seed.
106ZE,1008,4,Direct HS4 mapping for other cereals including millet.
107A,1201,4,Direct HS4 mapping for soybeans.
107B,1206,4,Direct HS4 mapping for sunflower seeds.
107C,1204,4,Direct HS4 mapping for linseed.
107D,1202,4,Direct HS4 mapping for peanuts.
107Z,12,2,Chapter-level parent mapping for other oil seeds and oleaginous fruits.
110,52,2,Chapter-level parent mapping for cotton fibers.
19899,,0,Not expanded because the confidential primary basket is broader than HS2.
199,,0,Not expanded because the residual primary basket is broader than HS2.
201AA,0201;0202,4,Direct HS4 mapping for bovine meat.
201AC,0203,4,Direct HS4 mapping for swine meat.
201B,1601;1602,4,Direct HS4 mapping for prepared or preserved meats.
203A,0402,4,Direct HS4 mapping for prepared/concentrated milk.
203B,0405,4,Direct HS4 mapping for butter.
203C,0406,4,Direct HS4 mapping for cheese.
204,05,2,Chapter-level parent mapping for other animal-origin products.
206D,09,2,Chapter-level parent mapping for spices.
207A,1101,4,Direct HS4 mapping for wheat flour.
207CB,1902;1905,4,Direct HS4 mapping for pasta and bakery products.
207Z,11;19,2,Chapter-level parent mapping for other milling/cereal preparations.
208AA,1507,4,Direct HS4 mapping for soybean oil.
208AC,1508,4,Direct HS4 mapping for peanut oil.
208AE,1512,4,Direct HS4 mapping for sunflower oil.
208AH,1515,4,Direct HS4 mapping for maize/corn oil.
208Z,15,2,Chapter-level parent mapping for other fats and oils.
209B,1704,4,Direct HS4 mapping for sugar confectionery without cocoa.
209CB,1806,4,Direct HS4 mapping for chocolate and cocoa preparations.
210B,2007,4,Direct HS4 mapping for fruit purees and pastes.
210Z,20,2,Chapter-level parent mapping for other vegetable and fruit preparations.
211Z,22,2,Chapter-level parent mapping for beverages excluding grape wine.
212AD,2305,4,Direct HS4 mapping for peanut oilcake and residues.
212AE,2304,4,Direct HS4 mapping for soybean oilcake and residues.
212B,2302,4,Direct HS4 mapping for bran and similar residues.
212Z,23,2,Chapter-level parent mapping for other food residues and animal feed.
213Z,32;35,2,Chapter-level parent mapping for tanning/dye extracts and albuminoidal substances.
29899,,0,Not expanded because the confidential agro-industrial basket is broader than HS2.
299,,0,Not expanded because the residual agro-industrial basket is broader than HS2.
302A,28,2,Chapter-level parent mapping for inorganic chemicals.
302B,29,2,Chapter-level parent mapping for organic chemicals.
302C,30,2,Chapter-level parent mapping for pharmaceutical products.
302D,31,2,Chapter-level parent mapping for fertilizers.
