COUNTRY.ID,2020,2021,2022,2023,2024
G110,41.715,41.188,40.916,40.223,39.649
USA,15.239,15.108,14.946,14.874,14.804
G119,30.419,29.870,29.593,29.129,28.675
GBR,2.295,2.257,2.283,2.216,2.169
BEL,0.462,0.457,0.459,0.449,0.440
GX123,6.750,6.776,6.712,6.596,6.533
AUT,0.372,0.363,0.368,0.353,0.338
SMR,0.001,0.001,0.001,0.001,0.001
DEU,3.481,3.340,3.281,3.145,3.030
FRA,2.385,2.328,2.310,2.269,2.221
DNK,0.261,0.261,0.253,0.246,0.246
LUX,0.055,0.057,0.054,0.052,0.051
ITA,1.883,1.900,1.922,1.872,1.825
NOR,0.257,0.307,0.306,0.296,0.293
SWE,0.424,0.415,0.406,0.391,0.382
NLD,0.778,0.774,0.784,0.754,0.738
AND,0.003,0.003,0.003,0.003,0.003
CAN,1.317,1.368,1.376,1.350,1.328
LIE,0.004,0.004,0.004,0.004,0.004
CHE,0.449,0.453,0.451,0.439,0.431
JPN,3.819,3.568,3.476,3.403,3.298
IRL,0.351,0.378,0.392,0.369,0.367
GRC,0.225,0.226,0.231,0.228,0.226
ISL,0.015,0.015,0.016,0.016,0.015
FIN,0.210,0.202,0.197,0.188,0.183
PRT,0.264,0.256,0.265,0.263,0.259
MLT,0.018,0.019,0.019,0.020,0.021
NZL,0.162,0.154,0.153,0.151,0.145
TUR,1.736,1.737,1.767,1.795,1.795
AUS,0.983,0.990,0.995,0.982,0.960
ESP,1.328,1.331,1.366,1.354,1.356
G205,7.209,7.282,7.323,7.244,7.175
G200,58.285,58.812,59.084,59.777,60.351
ZAF,0.547,0.536,0.528,0.514,0.501
BOL,0.070,0.072,0.072,0.072,0.070
ARG,0.722,0.759,0.776,0.737,0.704
SLV,0.042,0.043,0.043,0.043,0.043
DOM,0.149,0.156,0.159,0.157,0.159
BRA,2.395,2.412,2.397,2.393,2.396
CHL,0.350,0.360,0.355,0.345,0.343
COL,0.560,0.577,0.597,0.582,0.572
HND,0.039,0.041,0.041,0.041,0.041
CRI,0.079,0.078,0.078,0.080,0.081
ECU,0.144,0.152,0.155,0.153,0.145
HTI,0.025,0.023,0.022,0.021,0.019
GTM,0.135,0.133,0.133,0.133,0.134
URY,0.062,0.064,0.064,0.063,0.062
NIC,0.029,0.030,0.030,0.030,0.030
MEX,1.750,1.709,1.711,1.709,1.679
PAN,0.083,0.086,0.092,0.095,0.095
ABW,0.002,0.002,0.002,0.003,0.003
PRY,0.067,0.066,0.063,0.064,0.065
PER,0.307,0.328,0.325,0.313,0.313
ATG,0.001,0.002,0.002,0.002,0.002
VEN,0.114,0.108,0.112,0.113,0.115
BHS,0.008,0.008,0.008,0.008,0.008
DMA,0.001,0.001,0.001,0.001,0.001
GRD,0.001,0.001,0.001,0.001,0.001
BRB,0.003,0.003,0.003,0.003,0.003
LCA,0.002,0.002,0.003,0.003,0.003
GUY,0.010,0.012,0.019,0.024,0.034
JAM,0.020,0.019,0.019,0.019,0.019
BLZ,0.003,0.003,0.003,0.003,0.003
G400,7.396,7.379,7.564,7.491,7.432
PRI,0.086,0.084,0.084,0.081,0.081
VCT,0.001,0.001,0.001,0.001,0.001
KNA,0.001,0.001,0.001,0.001,0.001
BHR,0.056,0.053,0.054,0.054,0.054
SUR,0.007,0.007,0.007,0.007,0.007
TTO,0.026,0.027,0.026,0.025,0.025
IRN,0.946,0.895,0.901,0.917,0.921
CYP,0.028,0.029,0.030,0.029,0.029
IRQ,0.320,0.351,0.365,0.356,0.344
KWT,0.130,0.141,0.145,0.138,0.130
JOR,0.074,0.065,0.064,0.064,0.063
ISR,0.269,0.276,0.283,0.279,0.273
QAT,0.164,0.186,0.187,0.184,0.182
OMN,0.113,0.111,0.116,0.113,0.111
LBN,0.055,0.038,0.037,0.036,0.032
EGY,1.187,1.101,1.133,1.136,1.127
SAU,1.068,1.229,1.328,1.291,1.275
ARE,0.448,0.418,0.434,0.437,0.440
BGD,0.787,0.794,0.821,0.840,0.847
WBG,0.020,0.018,0.018,0.016,0.012
YEM,0.043,0.040,0.039,0.037,0.035
G510,5.011,4.922,5.010,5.040,5.105
G505,32.392,32.642,32.955,33.781,34.442
AFG,0.072,0.055,0.049,0.049,0.048
TWN,0.974,0.963,0.954,0.933,0.947
KHM,0.071,0.067,0.068,0.069,0.071
BRN,0.022,0.023,0.021,0.021,0.021
MMR,0.211,0.148,0.148,0.145,0.138
BTN,0.007,0.006,0.006,0.006,0.007
IND,6.966,7.249,7.527,7.946,8.193
HKG,0.310,0.311,0.289,0.288,0.286
LKA,0.202,0.202,0.181,0.171,0.173
TLS,0.006,0.006,0.004,0.004,0.003
IDN,2.298,2.248,2.284,2.320,2.359
MDV,0.005,0.006,0.007,0.007,0.007
MYS,0.664,0.651,0.685,0.686,0.698
KOR,1.770,1.710,1.695,1.665,1.644
MAC,0.028,0.032,0.025,0.042,0.045
LAO,0.040,0.038,0.037,0.038,0.038
PAK,0.846,0.818,0.839,0.809,0.803
NPL,0.087,0.085,0.087,0.086,0.086
THA,0.979,0.925,0.916,0.903,0.896
DJI,0.004,0.004,0.004,0.004,0.005
G603,3.517,3.450,3.475,3.484,3.510
PHL,0.658,0.638,0.662,0.676,0.691
SGP,0.412,0.461,0.463,0.455,0.460
BWA,0.026,0.027,0.028,0.028,0.026
AGO,0.187,0.195,0.196,0.192,0.194
VNM,0.812,0.759,0.795,0.808,0.837
CMR,0.082,0.082,0.082,0.082,0.082
DZA,0.398,0.413,0.413,0.416,0.417
TCD,0.027,0.028,0.028,0.028,0.029
CPV,0.003,0.003,0.003,0.003,0.003
BDI,0.007,0.007,0.007,0.007,0.007
COM,0.002,0.002,0.002,0.002,0.002
CAF,0.004,0.004,0.004,0.004,0.004
COG,0.020,0.021,0.021,0.021,0.020
GNQ,0.017,0.019,0.019,0.017,0.017
COD,0.083,0.087,0.091,0.096,0.099
BEN,0.030,0.030,0.030,0.031,0.032
ETH,0.204,0.201,0.207,0.214,0.224
GAB,0.024,0.028,0.028,0.028,0.028
GHA,0.137,0.137,0.137,0.137,0.140
GIN,0.032,0.033,0.033,0.034,0.035
GNB,0.003,0.003,0.003,0.003,0.003
GMB,0.005,0.005,0.005,0.005,0.005
MDG,0.031,0.030,0.030,0.030,0.030
KEN,0.178,0.181,0.183,0.187,0.190
CIV,0.114,0.114,0.117,0.121,0.124
LSO,0.004,0.004,0.004,0.004,0.004
MUS,0.019,0.018,0.019,0.020,0.020
MLI,0.036,0.033,0.033,0.034,0.034
MWI,0.021,0.022,0.021,0.021,0.020
LBR,0.006,0.005,0.005,0.005,0.005
LBY,0.055,0.057,0.051,0.054,0.053
NER,0.025,0.025,0.027,0.026,0.028
MRT,0.019,0.018,0.018,0.019,0.019
NGA,1.131,1.056,1.063,1.062,1.070
MAR,0.204,0.206,0.202,0.203,0.204
MOZ,0.031,0.029,0.030,0.030,0.030
STP,0.001,0.001,0.001,0.001,0.001
ZWE,0.058,0.062,0.063,0.064,0.063
RWA,0.021,0.023,0.024,0.025,0.027
NAM,0.018,0.017,0.018,0.018,0.018
SLE,0.015,0.015,0.015,0.015,0.015
SEN,0.045,0.046,0.046,0.046,0.048
SYC,0.002,0.002,0.002,0.002,0.002
SOM,0.017,0.015,0.015,0.015,0.015
SDN,0.141,0.109,0.102,0.079,0.058
SSD,0.006,0.009,0.008,0.008,0.006
UGA,0.081,0.081,0.083,0.084,0.087
BFA,0.037,0.035,0.034,0.034,0.035
SWZ,0.008,0.008,0.007,0.007,0.007
TZA,0.133,0.130,0.132,0.134,0.137
TGO,0.015,0.015,0.015,0.015,0.015
ZMB,0.043,0.044,0.044,0.045,0.046
SLB,0.001,0.001,0.001,0.001,0.001
TUN,0.102,0.095,0.094,0.091,0.090
PNG,0.024,0.022,0.022,0.023,0.023
FJI,0.007,0.006,0.007,0.007,0.007
WSM,0.001,0.001,0.001,0.001,0.001
ARM,0.031,0.030,0.033,0.034,0.035
G903,7.771,8.059,7.767,7.776,7.791
AZE,0.109,0.130,0.131,0.129,0.130
KGZ,0.025,0.025,0.026,0.028,0.029
KAZ,0.403,0.414,0.412,0.419,0.425
ALB,0.029,0.029,0.030,0.030,0.030
GEO,0.045,0.045,0.048,0.050,0.053
BLR,0.166,0.160,0.148,0.149,0.150
CHN,18.509,18.734,18.639,18.990,19.306
TJK,0.025,0.025,0.026,0.028,0.029
BGR,0.128,0.129,0.130,0.128,0.127
MDA,0.025,0.026,0.024,0.023,0.023
UKR,0.468,0.475,0.327,0.333,0.332
RUS,3.316,3.622,3.445,3.467,3.502
UZB,0.202,0.202,0.206,0.212,0.219
TKM,0.074,0.073,0.073,0.074,0.074
MNE,0.009,0.010,0.010,0.010,0.010
LVA,0.044,0.043,0.042,0.042,0.040
CZE,0.342,0.334,0.332,0.321,0.315
SVK,0.137,0.133,0.129,0.128,0.126
EST,0.039,0.038,0.036,0.034,0.033
HUN,0.245,0.240,0.242,0.232,0.226
LTU,0.083,0.083,0.082,0.080,0.079
SRB,0.103,0.103,0.102,0.102,0.103
MNG,0.032,0.032,0.032,0.034,0.034
ROU,0.472,0.464,0.465,0.460,0.449
MKD,0.026,0.026,0.026,0.026,0.025
HRV,0.088,0.091,0.094,0.094,0.095
BIH,0.039,0.038,0.039,0.038,0.038
SVN,0.063,0.062,0.062,0.061,0.060
G998,15.157,14.938,14.950,14.531,14.228
POL,0.992,0.984,0.999,0.968,0.965
KOS,0.014,0.015,0.015,0.015,0.015
PLW,,,,,
FSM,,,,,
NRU,,,,,
MHL,,,,,
TON,,,,,
VUT,0.001,0.001,0.001,0.001,0.001
KIR,,,,,
TUV,,,,,
