iso3,distance
ABW,5359.0
AFG,15271.0
AGO,7780.0
AIA,5867.0
ALB,11592.0
AND,10492.0
ARE,13655.0
ARM,13385.0
ASM,11064.0
ATG,5736.0
AUS,11633.0
AUT,11790.0
AZE,13823.0
BDI,9597.0
BEL,11282.0
BEN,7821.0
BES,5279.0
BFA,7937.0
BGD,16776.0
BGR,11919.0
BHR,13276.0
BHS,6900.0
BIH,11648.0
BLR,12784.0
BLZ,6578.0
BMU,7435.0
BOL,2229.0
BRA,1675.0
BRB,5281.0
BRN,16650.0
BTN,16889.0
BWA,8007.0
CAF,9100.0
CAN,8930.0
CCK,14207.0
CHE,11261.0
CHL,1138.0
CHN,19629.0
CIV,7209.0
CMR,8438.0
COD,8250.0
COG,8251.0
COK,9676.0
COL,4642.0
COM,10324.0
CPV,6608.0
CRI,5624.0
CUB,6873.0
CUW,5288.0
CXR,14748.0
CYM,6441.0
CYP,12260.0
CZE,11791.0
DEU,11889.0
DJI,11788.0
DMA,5532.0
DNK,12044.0
DOM,6001.0
DZA,10143.0
ECU,4227.0
EGY,11805.0
ERI,11627.0
ESH,8330.0
ESP,10022.0
EST,12883.0
ETH,11230.0
FIN,12926.0
FJI,11641.0
FLK,1900.0
FRA,11026.0
FRO,11666.0
FSM,15181.0
GAB,8024.0
GBR,11103.0
GEO,13470.0
GHA,7506.0
GIB,9572.0
GIN,6792.0
GLP,5611.0
GMB,6908.0
GNB,6845.0
GNQ,8150.0
GRC,11673.0
GRD,5176.0
GRL,10967.0
GTM,6420.0
GUF,4422.0
GUM,16715.0
GUY,4583.0
HKG,18464.0
HND,6190.0
HRV,11615.0
HTI,6064.0
HUN,11914.0
IDN,15230.0
IND,15799.0
IOT,13082.0
IRL,10964.0
IRN,13774.0
IRQ,13078.0
ISL,11406.0
ISR,12211.0
ITA,11131.0
JAM,6139.0
JOR,12301.0
JPN,18375.0
KAZ,16079.0
KEN,10411.0
KGZ,15889.0
KHM,16951.0
KIR,13553.0
KNA,5762.0
KOR,19433.0
KWT,13199.0
LAO,17381.0
LBN,12365.0
LBR,6741.0
LBY,10565.0
LCA,5387.0
LIE,11306.0
LKA,14764.0
LSO,7884.0
LTU,12687.0
LUX,11287.0
LVA,12731.0
MAC,18426.0
MAR,9222.0
MCO,10938.0
MDA,12533.0
MDG,10213.0
MDV,14035.0
MEX,7372.0
MHL,14096.0
MKD,11746.0
MLI,7460.0
MLT,10867.0
MMR,16811.0
MNE,11622.0
MNG,18094.0
MNP,16785.0
MOZ,8496.0
MRT,7359.0
MSR,5702.0
MTQ,5454.0
MUS,10931.0
MWI,9340.0
MYS,15964.0
MYT,10426.0
NAM,7340.0
NCL,12133.0
NER,8314.0
NFK,11445.0
NGA,7909.0
NIC,5951.0
NIU,10662.0
NLD,11422.0
NOR,12224.0
NPL,16504.0
NRU,13911.0
NZL,10374.0
OMN,13871.0
PAK,14709.0
PAN,5314.0
PCN,6744.0
PER,3130.0
PHL,17787.0
PLW,16713.0
PNG,14439.0
POL,12308.0
PRI,5930.0
PRK,19396.0
PRT,9574.0
PRY,1034.0
PSE,12154.0
PYF,9029.0
QAT,13305.0
REU,10718.0
ROU,12210.0
RUS,13460.0
RWA,9750.0
SAU,12852.0
SDN,11063.0
SEN,6966.0
SGP,15886.0
SHN,5624.0
SLB,13685.0
SLE,6733.0
SLV,6258.0
SMR,11267.0
SOM,11400.0
SPM,9016.0
SRB,11847.0
SSD,10315.0
STP,7778.0
SUR,4492.0
SVK,11832.0
SVN,11537.0
SWE,12539.0
SWZ,8362.0
SXM,5845.0
SYC,11867.0
SYR,12412.0
TCA,6350.0
TCD,9299.0
TGO,7702.0
THA,16878.0
TJK,15340.0
TKL,11452.0
TKM,14442.0
TLS,15209.0
TON,10929.0
TTO,5021.0
TUN,10624.0
TUR,12230.0
TUV,12314.0
TWN,18940.0
TZA,10283.0
UGA,10123.0
UKR,12808.0
URY,206.0
USA,8492.0
UZB,15429.0
VAT,11130.0
VCT,5294.0
VEN,5070.0
VGB,5905.0
VNM,16964.0
VUT,12402.0
WLF,11586.0
WSM,11184.0
YEM,12108.0
ZAF,8105.0
ZMB,8757.0
ZWE,8859.0
