iso3_o,iso3_d,dist
ABW,AFG,13256.0
ABW,AGO,9505.0
ABW,AIA,978.0
ABW,ALB,9090.0
ABW,AND,7570.0
ABW,ARE,12771.0
ABW,ARG,5359.0
ABW,ARM,11109.0
ABW,ASM,11486.0
ABW,ATG,1016.0
ABW,AUS,15561.0
ABW,AUT,8716.0
ABW,AZE,11504.0
ABW,BDI,11119.0
ABW,BEL,7842.0
ABW,BEN,7955.0
ABW,BES,196.0
ABW,BFA,7422.0
ABW,BGD,15472.0
ABW,BGR,9347.0
ABW,BHR,12303.0
ABW,BHS,1586.0
ABW,BIH,8928.0
ABW,BLR,9383.0
ABW,BLZ,2082.0
ABW,BMU,2254.0
ABW,BOL,3217.0
ABW,BRA,4734.0
ABW,BRB,1132.0
ABW,BRN,17998.0
ABW,BTN,15071.0
ABW,BWA,11179.0
ABW,CAF,9760.0
ABW,CAN,3571.0
ABW,CCK,18606.0
ABW,CHE,8133.0
ABW,CHL,5089.0
ABW,CHN,15012.0
ABW,CIV,7286.0
ABW,CMR,9008.0
ABW,COD,9616.0
ABW,COG,9612.0
ABW,COK,10485.0
ABW,COL,982.0
ABW,COM,12793.0
ABW,CPV,5030.0
ABW,CRI,1561.0
ABW,CUB,1756.0
ABW,CUW,128.0
ABW,CXR,19505.0
ABW,CYM,1426.0
ABW,CYP,10404.0
ABW,CZE,8556.0
ABW,DEU,8470.0
ABW,DJI,12184.0
ABW,DMA,983.0
ABW,DNK,8403.0
ABW,DOM,660.0
ABW,DZA,7686.0
ABW,ECU,1957.0
ABW,EGY,10382.0
ABW,ERI,11623.0
ABW,ESH,6117.0
ABW,ESP,7117.0
ABW,EST,9085.0
ABW,ETH,11805.0
ABW,FIN,9081.0
ABW,FJI,12694.0
ABW,FLK,7212.0
ABW,FRA,7681.0
ABW,FRO,7402.0
ABW,FSM,14284.0
ABW,GAB,8865.0
ABW,GBR,7538.0
ABW,GEO,11060.0
ABW,GHA,7518.0
ABW,GIB,6932.0
ABW,GIN,6158.0
ABW,GLP,975.0
ABW,GMB,5777.0
ABW,GNB,5913.0
ABW,GNQ,8864.0
ABW,GRC,9492.0
ABW,GRD,902.0
ABW,GRL,5909.0
ABW,GTM,2230.0
ABW,GUF,2119.0
ABW,GUM,15230.0
ABW,GUY,1448.0
ABW,HKG,16127.0
ABW,HND,1869.0
ABW,HRV,8714.0
ABW,HTI,710.0
ABW,HUN,8924.0
ABW,IDN,19232.0
ABW,IND,14254.0
ABW,IOT,15877.0
ABW,IRL,7167.0
ABW,IRN,11878.0
ABW,IRQ,11423.0
ABW,ISL,6819.0
ABW,ISR,10636.0
ABW,ITA,8475.0
ABW,JAM,946.0
ABW,JOR,10744.0
ABW,JPN,13826.0
ABW,KAZ,12978.0
ABW,KEN,11879.0
ABW,KGZ,12896.0
ABW,KHM,17284.0
ABW,KIR,12910.0
ABW,KNA,946.0
ABW,KOR,14184.0
ABW,KWT,11918.0
ABW,LAO,16537.0
ABW,LBN,10632.0
ABW,LBR,6529.0
ABW,LBY,8640.0
ABW,LCA,993.0
ABW,LIE,8210.0
ABW,LKA,16060.0
ABW,LSO,11407.0
