iso3_d,hs92,potential_market_imports_sum
ARG,0101,2674762142.0
ARG,0102,4566229366.0
ARG,0103,1932435672.0
ARG,0104,621089219.0
ARG,0105,1959759073.0
ARG,0106,1150950436.0
ARG,0201,13617712393.0
ARG,0202,15137980314.0
ARG,0203,24823662733.0
ARG,0204,5242037933.0
ARG,0205,240179666.0
ARG,0206,3591061125.0
ARG,0207,19811044259.0
ARG,0208,491439066.0
ARG,0209,498026318.0
ARG,0210,1749172766.0
ARG,0301,840613834.0
ARG,0302,12775467759.0
ARG,0303,11571618004.0
ARG,0304,15549381846.0
ARG,0305,3569619872.0
ARG,0306,15302951741.0
ARG,0307,5782796283.0
ARG,0401,8993438835.0
ARG,0402,10716084997.0
ARG,0403,3478742764.0
ARG,0404,3250127259.0
ARG,0405,8355442351.0
ARG,0406,22382133128.0
ARG,0407,2455983182.0
ARG,0408,962635865.0
ARG,0409,1286836423.0
ARG,0410,211031700.0
ARG,0501,27449664.0
ARG,0502,26702363.0
ARG,0504,3032265675.0
ARG,0505,634576287.0
ARG,0506,204094035.0
ARG,0507,51006006.0
ARG,0508,58955524.0
ARG,0510,186551349.0
ARG,0511,1576934314.0
ARG,0601,1113250690.0
ARG,0602,4940113371.0
ARG,0603,4506289874.0
ARG,0604,564781046.0
ARG,0701,3760370936.0
ARG,0702,4583788031.0
ARG,0703,4931361975.0
ARG,0704,2580928024.0
ARG,0705,1238333062.0
ARG,0706,1521094316.0
ARG,0707,1592834944.0
ARG,0708,1327799160.0
ARG,0709,7932490311.0
ARG,0710,5972962859.0
ARG,0711,330894957.0
ARG,0712,2275981005.0
ARG,0713,8353833649.0
ARG,0714,1088752131.0
ARG,0801,4882099994.0
ARG,0802,12388199908.0
ARG,0803,8820390602.0
ARG,0804,10814196308.0
ARG,0805,10294760682.0
ARG,0806,6948485171.0
ARG,0807,1996919193.0
ARG,0808,5586683012.0
ARG,0809,5043609884.0
ARG,0810,18736807073.0
ARG,0811,5157542641.0
ARG,0812,157679192.0
ARG,0813,2017582010.0
ARG,0814,82314665.0
ARG,0901,26950337859.0
ARG,0902,3507571124.0
ARG,0903,83999359.0
ARG,0904,3300037073.0
ARG,0905,190143187.0
ARG,0906,381690656.0
