iso3_d,hs92,year,potential_market_size
AFG,0101,2020,1500.0
AFG,0101,2024,185466.0
AFG,0104,2020,0.0
AFG,0105,2020,41093406.0
AFG,0105,2024,4356429.0
AFG,0106,2020,718694.0
AFG,0106,2024,1266729.0
AFG,0201,2020,69427641.0
AFG,0202,2020,25868260.0
AFG,0202,2024,3915.0
AFG,0203,2020,1795496.0
AFG,0203,2024,1610988.0
AFG,0204,2020,2629128.0
AFG,0204,2024,1926438.0
AFG,0206,2020,28823076.0
AFG,0206,2024,71346.0
AFG,0207,2020,763239864.0
AFG,0207,2024,36308490.0
AFG,0208,2020,65427.0
AFG,0209,2024,0.0
AFG,0210,2020,282195.0
AFG,0301,2020,68542.0
AFG,0302,2020,2899910.0
AFG,0302,2024,2359713.0
AFG,0303,2020,1123875.0
AFG,0304,2020,2669684.0
AFG,0305,2020,54528.0
AFG,0306,2020,1379755.0
AFG,0307,2020,104010.0
AFG,0401,2020,174320448.0
AFG,0401,2024,834607.0
AFG,0402,2020,327916316.0
AFG,0402,2024,42200048.0
AFG,0403,2020,55748180.0
AFG,0403,2024,2196170.0
AFG,0404,2020,17815734.0
AFG,0404,2024,5037600.0
AFG,0405,2020,1007326.0
AFG,0405,2024,109951.0
AFG,0406,2020,45924789.0
AFG,0406,2024,2811198.0
AFG,0407,2020,213482164.0
AFG,0407,2024,60884694.0
AFG,0408,2020,52028.0
AFG,0409,2020,11646981.0
AFG,0409,2024,34119.0
AFG,0501,2020,133766.0
AFG,0501,2024,0.0
AFG,0503,2020,0.0
AFG,0503,2024,4390.0
AFG,0504,2020,105516.0
AFG,0504,2024,0.0
AFG,0505,2020,0.0
AFG,0505,2024,0.0
AFG,0506,2020,0.0
AFG,0506,2024,0.0
AFG,0507,2024,0.0
AFG,0508,2020,4182.0
AFG,0509,2020,0.0
AFG,0509,2024,0.0
AFG,0511,2020,152454.0
AFG,0511,2024,717932.0
AFG,0601,2020,32314.0
AFG,0602,2020,1589608.0
AFG,0602,2024,95776.0
AFG,0603,2020,67254.0
AFG,0603,2024,46220.0
AFG,0604,2020,0.0
AFG,0604,2024,2253.0
AFG,0701,2020,219424148.0
AFG,0701,2024,165779046.0
AFG,0702,2020,334670325.0
AFG,0702,2024,8598908.0
AFG,0703,2020,96084072.0
AFG,0703,2024,34459166.0
AFG,0704,2020,54161784.0
AFG,0704,2024,23075946.0
AFG,0705,2020,2205876.0
AFG,0705,2024,9360.0
AFG,0706,2020,1511880.0
AFG,0706,2024,19018.0
AFG,0707,2020,3163240.0
AFG,0707,2024,318861.0
AFG,0708,2020,216984.0
AFG,0708,2024,431619.0
AFG,0709,2020,122102425.0
AFG,0709,2024,1055748.0
AFG,0710,2020,46241865.0
AFG,0710,2024,2127574.0
AFG,0711,2020,593828.0
AFG,0712,2020,3853213.0
AFG,0712,2024,703428.0
AFG,0713,2020,993303914.0
AFG,0713,2024,1930727820.0
AFG,0714,2020,497214.0
AFG,0714,2024,0.0
AFG,0801,2020,112742900.0
AFG,0801,2024,2831990.0
AFG,0802,2020,1514462560.0
AFG,0802,2024,123205236.0
AFG,0803,2020,126803735.0
AFG,0803,2024,20989300.0
AFG,0804,2020,389815965.0
AFG,0804,2024,55315200.0
AFG,0805,2020,585403740.0
AFG,0805,2024,169854340.0
AFG,0806,2020,78783840.0
AFG,0806,2024,32400520.0
AFG,0807,2020,61117861.0
AFG,0807,2024,2721546.0
AFG,0808,2020,440345992.0
AFG,0808,2024,603990.0
AFG,0809,2020,28212912.0
AFG,0809,2024,0.0
AFG,0810,2020,68741232.0
AFG,0810,2024,14467248.0
AFG,0811,2020,1022535.0
AFG,0811,2024,0.0
AFG,0812,2020,0.0
AFG,0812,2024,0.0
AFG,0813,2020,4792176.0
AFG,0813,2024,1777260.0
AFG,0901,2020,5033856.0
AFG,0901,2024,24150.0
AFG,0902,2020,565826937.0
AFG,0902,2024,152972190.0
AFG,0904,2020,46714320.0
AFG,0904,2024,514610.0
AFG,0905,2020,5234.0
AFG,0906,2020,706887.0
AFG,0906,2024,637782.0
AFG,0907,2020,587979.0
AFG,0907,2024,338476.0
AFG,0908,2020,26944856.0
AFG,0908,2024,6169760.0
AFG,0909,2020,68159730.0
AFG,0909,2024,142984917.0
AFG,0910,2020,359251752.0
AFG,0910,2024,11166070.0
AFG,1001,2020,698492195.0
AFG,1001,2024,91438716.0
AFG,1003,2020,1610292.0
AFG,1003,2024,109908.0
AFG,1004,2020,2778822.0
AFG,1004,2024,1182674.0
AFG,1005,2020,524902.0
AFG,1005,2024,21166424.0
AFG,1006,2020,1920518652.0
AFG,1006,2024,3144567408.0
AFG,1007,2020,931658.0
AFG,1007,2024,225000.0
AFG,1008,2020,4473305.0
AFG,1008,2024,7303260.0
AFG,1101,2020,3930396253.0
AFG,1101,2024,1921620366.0
AFG,1102,2020,362068.0
AFG,1102,2024,35685.0
AFG,1103,2020,25880019.0
AFG,1103,2024,14705410.0
AFG,1104,2020,945621.0
AFG,1104,2024,225402.0
AFG,1105,2020,1640406.0
AFG,1106,2020,327172.0
AFG,1106,2024,173394.0
AFG,1107,2020,43924.0
AFG,1108,2020,10166709.0
AFG,1108,2024,22377752.0
AFG,1109,2020,5652.0
AFG,1201,2020,7686532.0
AFG,1201,2024,1307514.0
AFG,1202,2020,79800644.0
AFG,1202,2024,45171702.0
AFG,1203,2020,68840.0
AFG,1203,2024,1799424.0
AFG,1204,2020,19915652.0
AFG,1204,2024,48567666.0
AFG,1205,2020,392716.0
AFG,1205,2024,2610888.0
AFG,1206,2020,26359505.0
AFG,1206,2024,10385496.0
AFG,1207,2020,16868600.0
AFG,1207,2024,62879427.0
AFG,1208,2020,425200.0
AFG,1208,2024,0.0
AFG,1209,2020,94188972.0
AFG,1209,2024,13544032.0
AFG,1211,2020,63597268.0
AFG,1211,2024,10263533.0
AFG,1212,2020,11846250.0
AFG,1212,2024,127690956.0
AFG,1213,2020,58590.0
AFG,1213,2024,2516762.0
AFG,1214,2020,0.0
AFG,1301,2020,68401404.0
AFG,1301,2024,3846240.0
AFG,1302,2020,40089424.0
AFG,1302,2024,449421.0
AFG,1401,2020,1813250.0
AFG,1401,2024,757134.0
AFG,1402,2020,54988.0
AFG,1402,2024,37182.0
AFG,1403,2020,355224.0
AFG,1403,2024,176248.0
AFG,1404,2020,1809952.0
AFG,1404,2024,1153334.0
AFG,1502,2020,66704643.0
AFG,1502,2024,640440.0
AFG,1504,2024,1018.0
AFG,1506,2020,7856.0
AFG,1507,2020,3701874.0
AFG,1507,2024,248750.0
AFG,1509,2020,1145517.0
AFG,1509,2024,22391.0
AFG,1510,2020,0.0
AFG,1510,2024,0.0
AFG,1511,2020,498871096.0
AFG,1511,2024,670410348.0
AFG,1512,2020,570931812.0
AFG,1512,2024,182891265.0
AFG,1513,2020,8742.0
