candidate_hs4,candidate_product_name_short,anchor_count,anchors
2105,Ice cream,17,"0402 - Milk, concentrated; 0405 - Butter; 0406 - Cheese; 0409 - Honey; 0808 - Apples & pears; 1518 - Animal or vegetable fats and oils, processed; 1602 - Other prepared or preserved meat; 1901 - Malt extract; 2102 - Yeasts; 2518 - Dolomite; 2713 - Petroleum coke; 3101 - Animal or vegetable fertilizers; 3307 - Toiletries; 3405 - Polishes and creams; 3808 - Insecticides, rodenticides, fungicides, etc.; 3823 - Industrial monocarboxylic fatty acids; 4411 - Fiberboard of wood"
8432,Machinery for soil preparation or cultivation,17,"0201 - Beef; 0206 - Edible offal; 0207 - Poultry; 0404 - Whey; 0405 - Butter; 0408 - Egg yolks; 1001 - Wheat and meslin; 1005 - Corn; 1107 - Malt; 1108 - Starches; 1702 - Other sugars; 2303 - Starch residues; 2304 - Solid soybean residues; 2923 - Quaternary ammonium salts and hydroxides; 6807 - Asphalt; 7304 - Tubes, seamless, of iron or steel; 8702 - Buses"
1102,Cereal flours,16,"0303 - Frozen fish, excluding fillets; 0510 - Animal products used in pharmaceuticals; 0713 - Legumes, dried; 1008 - Other cereals; 1101 - Wheat or meslin flour; 1103 - Cereal meals; 1104 - Worked cereal grains; 1208 - Flours of oil seeds; 1209 - Seeds used for sowing; 1515 - Other vegetable fats and oils; 1521 - Vegetable waxes and beeswax; 1701 - Sugarcane & sucrose; 2008 - Fruits and nuts, otherwise prepared; 2302 - Cereal residues; 4104 - Tanned hides of bovines or equines; 4403 - Wood in the rough"
1205,Rape or colza seeds,16,"0202 - Beef (frozen); 0205 - Horse meat; 0505 - Feathers and down; 1001 - Wheat and meslin; 1003 - Barley; 1007 - Grain sorghum; 1201 - Soya beans; 1206 - Sunflower seeds; 1214 - Forage products; 1502 - Bovine, sheep and goat fats; 2205 - Wine, flavored; 2303 - Starch residues; 3501 - Casein; 5101 - Wool; 5103 - Wool or animal hair waste; 5105 - Wool, combed"
1703,Molasses,16,"0409 - Honey; 0511 - Animal products n.e.c.; 0713 - Legumes, dried; 1008 - Other cereals; 1101 - Wheat or meslin flour; 1103 - Cereal meals; 1104 - Worked cereal grains; 1507 - Soybean oil; 1515 - Other vegetable fats and oils; 1701 - Sugarcane & sucrose; 2301 - Flours of fish, for animal feed; 2302 - Cereal residues; 2401 - Unmanufactured tobacco; 3301 - Essential oils; 4104 - Tanned hides of bovines or equines; 4402 - Wood charcoal"
1207,Other oil seeds,15,"0713 - Legumes, dried; 1007 - Grain sorghum; 1008 - Other cereals; 1201 - Soya beans; 1202 - Peanuts; 1208 - Flours of oil seeds; 1301 - Lac; 1515 - Other vegetable fats and oils; 1701 - Sugarcane & sucrose; 2302 - Cereal residues; 2305 - Solid peanut residues; 4104 - Tanned hides of bovines or equines; 4403 - Wood in the rough; 5201 - Raw cotton; 7108 - Gold"
0401,Milk,14,"0201 - Beef; 0206 - Edible offal; 0207 - Poultry; 0402 - Milk, concentrated; 0404 - Whey; 0405 - Butter; 0406 - Cheese; 0504 - Animal guts, except fish; 1518 - Animal or vegetable fats and oils, processed; 1602 - Other prepared or preserved meat; 1901 - Malt extract; 2308 - Vegetable materials for animal feeding; 3501 - Casein; 4411 - Fiberboard of wood"
0209,Pig and poultry fat,13,"0205 - Horse meat; 0206 - Edible offal; 1214 - Forage products; 1502 - Bovine, sheep and goat fats; 1520 - Glycerol; 2004 - Other vegetables, frozen; 2204 - Wine; 2205 - Wine, flavored; 2303 - Starch residues; 2512 - Siliceous fossil meals and earths; 3502 - Albumins; 3507 - Enzymes; 3913 - Natural polymers"
4822,"Bobbins, spools, cops of paper",13,"1518 - Animal or vegetable fats and oils, processed; 1602 - Other prepared or preserved meat; 2102 - Yeasts; 2518 - Dolomite; 2713 - Petroleum coke; 2714 - Bitumen and asphalt, natural; 3211 - Prepared driers; 3307 - Toiletries; 3405 - Polishes and creams; 3808 - Insecticides, rodenticides, fungicides, etc.; 6807 - Asphalt; 6809 - Plaster articles; 8702 - Buses"
0810,Other fresh fruit,12,"0307 - Molluscs; 0703 - Onions, shallots, garlic; 0711 - Vegetables, provisionally preserved; 0805 - Citrus fruit; 0806 - Grapes; 0808 - Apples & pears; 0809 - Peaches & cherries; 0812 - Fruits and nuts, provisionally preserved; 0813 - Fruits, dried; 0814 - Peel of citrus fruit or melons; 1209 - Seeds used for sowing; 2616 - Precious metal ores"
